customer_id,customer_name,customer_email,signup_date
1,Customer 1,customer1@example.com,2020-01-01 00:00:00
2,Customer 2,customer2@example.com,2020-01-01 17:32:15
3,Customer 3,customer3@example.com,2020-01-02 11:04:30
4,Customer 4,customer4@example.com,2020-01-03 04:36:45
5,Customer 5,customer5@example.com,2020-01-03 22:09:00
6,Customer 6,customer6@example.com,2020-01-04 15:41:15
7,Customer 7,customer7@example.com,2020-01-05 09:13:30
8,Customer 8,customer8@example.com,2020-01-06 02:45:45
9,Customer 9,customer9@example.com,2020-01-06 20:18:01
10,Customer 10,customer10@example.com,2020-01-07 13:50:16
11,Customer 11,customer11@example.com,2020-01-08 07:22:31
12,Customer 12,customer12@example.com,2020-01-09 00:54:46
13,Customer 13,customer13@example.com,2020-01-09 18:27:01
14,Customer 14,customer14@example.com,2020-01-10 11:59:16
15,Customer 15,customer15@example.com,2020-01-11 05:31:31
16,Customer 16,customer16@example.com,2020-01-11 23:03:47
17,Customer 17,customer17@example.com,2020-01-12 16:36:02
18,Customer 18,customer18@example.com,2020-01-13 10:08:17
19,Customer 19,customer19@example.com,2020-01-14 03:40:32
20,Customer 20,customer20@example.com,2020-01-14 21:12:47
21,Customer 21,customer21@example.com,2020-01-15 14:45:02
22,Customer 22,customer22@example.com,2020-01-16 08:17:17
23,Customer 23,customer23@example.com,2020-01-17 01:49:32
24,Customer 24,customer24@example.com,2020-01-17 19:21:48
25,Customer 25,customer25@example.com,2020-01-18 12:54:03
26,Customer 26,customer26@example.com,2020-01-19 06:26:18
27,Customer 27,customer27@example.com,2020-01-19 23:58:33
28,Customer 28,customer28@example.com,2020-01-20 17:30:48
29,Customer 29,customer29@example.com,2020-01-21 11:03:03
30,Customer 30,customer30@example.com,2020-01-22 04:35:18
31,Customer 31,customer31@example.com,2020-01-22 22:07:34
32,Customer 32,customer32@example.com,2020-01-23 15:39:49
33,Customer 33,customer33@example.com,2020-01-24 09:12:04
34,Customer 34,customer34@example.com,2020-01-25 02:44:19
35,Customer 35,customer35@example.com,2020-01-25 20:16:34
36,Customer 36,customer36@example.com,2020-01-26 13:48:49
37,Customer 37,customer37@example.com,2020-01-27 07:21:04
38,Customer 38,customer38@example.com,2020-01-28 00:53:20
39,Customer 39,customer39@example.com,2020-01-28 18:25:35
40,Customer 40,customer40@example.com,2020-01-29 11:57:50
41,Customer 41,customer41@example.com,2020-01-30 05:30:05
42,Customer 42,customer42@example.com,2020-01-30 23:02:20
43,Customer 43,customer43@example.com,2020-01-31 16:34:35
44,Customer 44,customer44@example.com,2020-02-01 10:06:50
45,Customer 45,customer45@example.com,2020-02-02 03:39:05
46,Customer 46,customer46@example.com,2020-02-02 21:11:21
47,Customer 47,customer47@example.com,2020-02-03 14:43:36
48,Customer 48,customer48@example.com,2020-02-04 08:15:51
49,Customer 49,customer49@example.com,2020-02-05 01:48:06
50,Customer 50,customer50@example.com,2020-02-05 19:20:21
51,Customer 51,customer51@example.com,2020-02-06 12:52:36
52,Customer 52,customer52@example.com,2020-02-07 06:24:51
53,Customer 53,customer53@example.com,2020-02-07 23:57:07
54,Customer 54,customer54@example.com,2020-02-08 17:29:22
55,Customer 55,customer55@example.com,2020-02-09 11:01:37
56,Customer 56,customer56@example.com,2020-02-10 04:33:52
57,Customer 57,customer57@example.com,2020-02-10 22:06:07
58,Customer 58,customer58@example.com,2020-02-11 15:38:22
59,Customer 59,customer59@example.com,2020-02-12 09:10:37
60,Customer 60,customer60@example.com,2020-02-13 02:42:52
61,Customer 61,customer61@example.com,2020-02-13 20:15:08
62,Customer 62,customer62@example.com,2020-02-14 13:47:23
63,Customer 63,customer63@example.com,2020-02-15 07:19:38
64,Customer 64,customer64@example.com,2020-02-16 00:51:53
65,Customer 65,customer65@example.com,2020-02-16 18:24:08
66,Customer 66,customer66@example.com,2020-02-17 11:56:23
67,Customer 67,customer67@example.com,2020-02-18 05:28:38
68,Customer 68,customer68@example.com,2020-02-18 23:00:54
69,Customer 69,customer69@example.com,2020-02-19 16:33:09
70,Customer 70,customer70@example.com,2020-02-20 10:05:24
71,Customer 71,customer71@example.com,2020-02-21 03:37:39
72,Customer 72,customer72@example.com,2020-02-21 21:09:54
73,Customer 73,customer73@example.com,2020-02-22 14:42:09
74,Customer 74,customer74@example.com,2020-02-23 08:14:24
75,Customer 75,customer75@example.com,2020-02-24 01:46:40
76,Customer 76,customer76@example.com,2020-02-24 19:18:55
77,Customer 77,customer77@example.com,2020-02-25 12:51:10
78,Customer 78,customer78@example.com,2020-02-26 06:23:25
79,Customer 79,customer79@example.com,2020-02-26 23:55:40
80,Customer 80,customer80@example.com,2020-02-27 17:27:55
81,Customer 81,customer81@example.com,2020-02-28 11:00:10
82,Customer 82,customer82@example.com,2020-02-29 04:32:25
83,Customer 83,customer83@example.com,2020-02-29 22:04:41
84,Customer 84,customer84@example.com,2020-03-01 15:36:56
85,Customer 85,customer85@example.com,2020-03-02 09:09:11
86,Customer 86,customer86@example.com,2020-03-03 02:41:26
87,Customer 87,customer87@example.com,2020-03-03 20:13:41
88,Customer 88,customer88@example.com,2020-03-04 13:45:56
89,Customer 89,customer89@example.com,2020-03-05 07:18:11
90,Customer 90,customer90@example.com,2020-03-06 00:50:27
91,Customer 91,customer91@example.com,2020-03-06 18:22:42
92,Customer 92,customer92@example.com,2020-03-07 11:54:57
93,Customer 93,customer93@example.com,2020-03-08 05:27:12
94,Customer 94,customer94@example.com,2020-03-08 22:59:27
95,Customer 95,customer95@example.com,2020-03-09 16:31:42
96,Customer 96,customer96@example.com,2020-03-10 10:03:57
97,Customer 97,customer97@example.com,2020-03-11 03:36:12
98,Customer 98,customer98@example.com,2020-03-11 21:08:28
99,Customer 99,customer99@example.com,2020-03-12 14:40:43
100,Customer 100,customer100@example.com,2020-03-13 08:12:58
101,Customer 101,customer101@example.com,2020-03-14 01:45:13
102,Customer 102,customer102@example.com,2020-03-14 19:17:28
103,Customer 103,customer103@example.com,2020-03-15 12:49:43
104,Customer 104,customer104@example.com,2020-03-16 06:21:58
105,Customer 105,customer105@example.com,2020-03-16 23:54:14
106,Customer 106,customer106@example.com,2020-03-17 17:26:29
107,Customer 107,customer107@example.com,2020-03-18 10:58:44
108,Customer 108,customer108@example.com,2020-03-19 04:30:59
109,Customer 109,customer109@example.com,2020-03-19 22:03:14
110,Customer 110,customer110@example.com,2020-03-20 15:35:29
111,Customer 111,customer111@example.com,2020-03-21 09:07:44
112,Customer 112,customer112@example.com,2020-03-22 02:40:00
113,Customer 113,customer113@example.com,2020-03-22 20:12:15
114,Customer 114,customer114@example.com,2020-03-23 13:44:30
115,Customer 115,customer115@example.com,2020-03-24 07:16:45
116,Customer 116,customer116@example.com,2020-03-25 00:49:00
117,Customer 117,customer117@example.com,2020-03-25 18:21:15
118,Customer 118,customer118@example.com,2020-03-26 11:53:30
119,Customer 119,customer119@example.com,2020-03-27 05:25:45
120,Customer 120,customer120@example.com,2020-03-27 22:58:01
